GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
36.1091010325,115.7591931166,36.1091227017,115.7649920525,36.115047,115.771508,山东省聊城市阳谷县清河西路,-,聊城阳谷中天商贸城阳谷一中北丁字路口51米路东
36.6038490812,116.2387920204,36.6040601067,116.244446117,36.609987,116.250974,山东省聊城市茌平县,-,聊城茌平齐韩路
36.8310588775,115.7151631422,36.8313809099,115.7210264511,36.837135,115.727612,山东省聊城市临清市,-,聊城临清曙光路中央帝景C区
36.2340516544,115.6602365109,36.2339780917,115.665922794,36.24024,115.672355,山东省聊城市莘县政府街,-,聊城人民医院新华路与青年路交口东南角
0,0,0,0,0,0,-,-,聊城高唐县金城西路134号
0,0,0,0,0,0,-,-,聊城金鼎红星路西段邮电局路口西行101米路南
36.2324655652,115.6703837529,36.2324093114,115.6760914937,36.238757,115.682496,山东省聊城市莘县政府街,-,聊城莘县政府街与通运路交叉口
0,0,0,0,0,0,-,-,聊城茌平齐韩路口北101米路西
36.4385174974,115.9772771218,36.4385649747,115.9829151251,36.444249,115.989538,山东省聊城市东昌府区,-,聊城第一中学西301米路北
36.1175107618,115.7847247346,36.1175107618,115.7904807551,36.123845,115.796865,山东省聊城市阳谷县谷山路,-,聊城阳谷中天商贸城运河西路和谷山路交口（中天商贸城内路北）
36.4754831029,116.0730082082,36.4757937027,116.0789144325,36.481546,116.085499,山东省聊城市东昌府区,-,聊城开发区长江路金柱大学城C区西门南100米9号楼下
36.4562836278,115.9833977727,36.4563656129,115.9890679626,36.462146,115.995653,山东省聊城市东昌府区柳园南路辅路,-,聊城东昌府区柳园路新金鼎
36.4577611838,116.0270195494,36.4579639889,116.0328184853,36.464318,116.03922,山东省聊城市东昌府区东昌路107号,-,聊城开发区中华路东昌路交叉路口东北角当代国际商业街B区32号（当代小区西门北）
36.438048093,115.983537519,36.4381214671,115.9892077089,36.443905,115.9958,山东省聊城市东昌府区柳园南路8-25,-,聊城黄山路文轩中学对过
0,0,0,0,0,0,-,-,聊城冠县清泉冠宜春西路18号
36.4563781838,116.0303505494,36.4565809889,116.0361494853,36.462935,116.042551,山东省聊城市东昌府区,-,聊城开发区振华商场一楼东北角
36.4577611838,116.0270195494,36.4579639889,116.0328184853,36.464318,116.03922,山东省聊城市东昌府区东昌路107号,-,聊城开发区御润财富城内假日广场东邻路南
36.2368786544,115.6615575109,36.2368050917,115.667243794,36.243067,115.673676,山东省聊城市莘县,-,聊城莘县实验小学
36.2436755275,115.6729908847,36.2436409142,115.6787200832,36.249985,115.685136,山东省聊城市莘县通运路,-,聊城莘县振兴街与通运路交叉口南20米
36.112610289,115.7766414426,36.1126189567,115.7824189208,36.118873,115.788827,山东省聊城市阳谷县棋盘街,-,聊城狮子楼书院街
36.4442983392,115.9799979711,36.4443501259,115.9856413389,36.450032,115.992253,山东省聊城市东昌府区东关街53,-,聊城东昌府区东关街闸口桥
36.8372638035,115.7058307765,36.8375729547,115.7116779922,36.843479,115.71822,山东省聊城市临清市,-,聊城运河半岛经一路运河半岛商业街（好声音KTV东邻）
0,0,0,0,0,0,-,-,聊城东昌府区聊牛路东1.6公里路南
0,0,0,0,0,0,-,-,聊城冠县步行街东段贵林鱼家西临
0,0,0,0,0,0,-,-,聊城东昌府区兴华路与柳园路交叉口往西201米路北（国棉厂家属院临街商铺）
0,0,0,0,0,0,-,-,聊城亿沣购物广场中心街与文化南路交汇处（亿沣超市南十字路口）西51米路南
0,0,0,0,0,0,-,-,聊城信合天晶购物广场枣乡街财局家属院北邻19-34号
36.2352634941,115.6741724855,36.2352288765,115.679901684,36.241567,115.686307,山东省聊城市莘县,-,聊城莘县振兴街希望小学西31米路南
0,0,0,0,0,0,-,-,聊城东昌府区柳园北路罗马圣浴南邻枫景商务酒店
36.2384806544,115.6620825109,36.2384070917,115.667768794,36.244669,115.674201,山东省聊城市莘县振兴街,-,聊城莘县教育局
36.8603823526,116.2379493086,36.8607643477,116.2436302273,36.866695,116.250176,山东省聊城市高唐县,-,聊城高唐县第一实验小学
36.2439326696,115.6618649147,36.2438591164,115.6675511978,36.250127,115.673994,山东省聊城市莘县新华路68号,-,聊城莘县政府街70号
36.8343438035,115.7108627765,36.8346529547,115.7167099922,36.840559,115.723252,山东省聊城市临清市青年路,-,聊城银座商城青年路银座超市
0,0,0,0,0,0,-,-,聊城高唐县鼓楼东路天齐庙小区南门东侧（捷安特自行车西侧）
0,0,0,0,0,0,-,-,聊城阳谷中天商贸城阳谷宾馆东丁字路口南19米路西（大寺街北首 电业局西邻）
36.8392547209,115.7103050986,36.8395681248,115.7161523143,36.84548,115.722705,山东省聊城市临清市古楼街769号,-,聊城临清锦绣青城东门对过
36.2345626544,115.6587695109,36.2344890917,115.664455794,36.240751,115.670888,山东省聊城市莘县政府街83号,-,聊城人民医院新华路市医院北
