18:46:05 GetUserCustomerServiceUrl cost time: 321 ms 
18:54:23 Start Navigate to http://lc.meituan.com/ 
18:54:33 Current status code is 200 
18:54:40 Current status code is 200 
18:55:27 Current status code is -1 
18:55:44 Current status code is -1 
18:56:02 Current status code is -1 
18:56:20 Current status code is -1 
18:56:39 Current status code is -1 
18:56:57 Current status code is -1 
18:57:15 Current status code is -1 
18:57:33 Current status code is -1 
18:57:51 Current status code is -1 
18:58:10 Current status code is -1 
18:58:28 Current status code is -1 
18:58:46 Current status code is -1 
18:59:05 Current status code is -1 
18:59:24 Current status code is -1 
18:59:43 Current status code is -1 
19:00:02 Current status code is -1 
19:00:22 Current status code is -1 
19:00:42 Current status code is -1 
19:01:02 Current status code is -1 
19:01:22 Current status code is -1 
19:01:42 Current status code is -1 
19:02:02 Current status code is -1 
19:02:22 Current status code is -1 
19:02:42 Current status code is -1 
19:03:01 Current status code is -1 
19:03:22 Current status code is -1 
19:03:43 Current status code is -1 
19:04:03 Current status code is -1 
19:04:23 Current status code is -1 
19:04:43 Current status code is -1 
19:05:02 Current status code is -1 
