name,ipadress,image,evaluate,grade,comments,bcategory_id,adress,price,longitude,latitude,badress_id
皇家5号自助餐厅,http://www.meituan.com/meishi/5678840/,http://p1.meituan.net/mogu/30de1c359b5aa10c17256a60f3e4909428723.jpg@380w_214h_1e_1c,一般,3.3,18656,1,东昌府区新东方广场北区5楼,58,115.992735,36.456544,1
阿郎山烤涮海鲜自助城,http://www.meituan.com/meishi/4011587/,http://p0.meituan.net/shopmainpic/e9547e6d3c9d2cf0648575173a17422b186412.jpg@380w_214h_1e_1c,不错,3.6,15674,7,东昌府区柳园北路新东方广场北区3楼,53,115.995908,36.466737,1
好伦哥比萨牛排海鲜自助（东昌东路店）,http://www.meituan.com/meishi/5440102/,http://p1.meituan.net/deal/1403cccd2262674e471bea3a4f529db745616.jpg@380w_214h_1e_1c,不错,3.7,13810,1,东昌府区东昌东路金鼎购物中心东邻50米路南3楼,45,115.997804,36.46276,1
渝新干锅辣鸭头,http://www.meituan.com/meishi/1270356/,http://p1.meituan.net/deal/201210/11/_1011183056.jpg@380w_214h_1e_1c,好,4.1,13572,4,东昌府区健康路南首古运河桥西30米（铁塔商场南侧）,37,115.99015,36.455758,1
东方肥牛王（利民东路店）,http://www.meituan.com/meishi/1269992/,http://p1.meituan.net/deal/4dcc78b661deea1ddb2ec4f2d2d538b389267.jpg@380w_214h_1e_1c,不错,3.6,13357,4,东昌府区利民东路与花园路交叉口向东66米路南（近利民大药店总店）,57,115.465067,36.491434,1
好伦哥比萨火锅自助（临清店）,http://www.meituan.com/meishi/5852182/,http://p1.meituan.net/deal/__28629609__2887613.jpg@600w_600h_1l,一般,3.5,11874,1,临清红星路大家庭2楼,44,116.013678,36.463403,3
牛车水（外婆家）,http://www.meituan.com/meishi/5188534/,http://p1.meituan.net/deal/__28719108__1784242.jpg@600w_600h_1l,一般,3.5,11833,8,东昌府区兴华西路与昌润路交叉口往东300米路南,45,115.962286,36.466559,1
小丑先生西饼屋（花园路店）,http://www.meituan.com/meishi/48232/,http://p1.meituan.net/mogu/d1bbc429118d421a06987540064c7ffc99186.jpg@380w_214h_1e_1c,很好,4.7,10939,2,东昌府区东昌路与花园路路口向北100米路东,16,116.005278,36.487486,1
汉丽轩（中段中心广场店）,http://www.meituan.com/meishi/92569874/,http://p0.meituan.net/mogu/2bc23ef44bdbbb916c087acc2edf6434206326.jpg@220w_125h_1e_1c,一般,3.5,10524,1,阳谷谷山路中段中心广场北88米路东,36,115.672168,36.243714,4
木屋披萨,http://www.meituan.com/meishi/74588183/,http://p1.meituan.net/deal/917fd55aa9001c717c1970e5b3c79b69136967.jpg@380w_214h_1e_1c,很好,4.6,10448,11,阳谷中天商贸城谷山路中天商贸城大门南10米路西,10,115.972257,36.467235,4
